"start_station","end_station","hour","x_hat"
"10",4,6,1
"10",4,10,2
"10",4,11,2
"10",4,12,1
"10",4,14,1.5
"10",4,15,1
"10",4,16,1
"10",4,18,1
"10",5,5,1
"10",5,6,1
"10",5,7,1
"10",5,8,1.25
"10",5,9,1
"10",5,10,2
"10",5,11,1
"10",5,13,1
"10",5,14,1
"10",5,15,1
"10",5,16,1
"10",5,18,1
"10",5,19,1
"10",6,5,1
"10",6,9,1
"10",6,14,1
"10",7,19,1
"10",8,5,1
"10",8,12,1
"10",8,13,1
"10",8,14,1
"10",8,15,1
"10",9,10,1
"10",9,15,1
"10",9,16,1
"10",9,17,1
"10",9,20,1
"10",10,8,1
"10",10,9,1
"10",10,10,1
"10",10,11,1
"10",10,13,1
"10",10,14,1
"10",10,15,1
"10",10,17,1
"10",10,19,1
"10",11,7,1
"10",11,11,1
"10",11,14,1
"10",11,16,1
"10",11,18,1
"10",12,6,1
"10",12,8,1
"10",12,9,1
"10",12,10,1
"10",12,11,1
"10",12,13,1
"10",12,16,1
"10",12,17,1
"10",12,18,1
"10",13,9,1
"10",13,10,1
"10",13,12,1
"10",13,13,1
"10",13,14,1
"10",13,15,1
"10",13,16,1
"10",13,18,1
"10",16,5,1
"10",16,6,1
"10",16,7,1
"10",16,8,1
"10",16,9,1
"10",16,11,1
"10",16,12,1
"10",16,13,1
"10",16,14,1
"10",16,15,1
"10",16,16,1
"10",16,17,1
"10",16,18,1
"10",16,19,1
"10",16,20,1
"10",17,4,1
"10",17,5,1
"10",17,7,1
"10",17,8,1
"10",17,9,1.5
"10",17,10,1.2
"10",17,11,1
"10",17,13,2
"10",17,14,2
"10",17,15,1.75
"10",17,16,1.33333333333333
"10",17,17,1
"10",17,18,1
"10",18,6,1.5
"10",18,7,1
"10",18,9,1.33333333333333
"10",18,10,1
"10",18,12,1
"10",18,13,2
"10",18,14,1
"10",18,15,1
"10",18,16,1
"10",18,17,1.5
"10",18,18,1
"10",18,19,1
"10",21,6,1
"10",21,7,1
"10",21,8,1
"10",21,9,1
"10",21,10,1.33333333333333
"10",21,11,1
"10",21,12,1
"10",21,14,1
"10",21,15,1
"10",21,16,1.2
"10",21,18,1
"10",22,6,1
"10",22,7,2
"10",22,8,1
"10",22,9,2
"10",22,13,1
"10",22,14,1.4
"10",22,15,1
"10",22,16,1
"10",22,17,1
"10",22,18,1
"10",22,20,1
"10",23,6,1
"10",23,7,1
"10",23,8,1
"10",23,9,1
"10",23,10,1.33333333333333
"10",23,13,1
"10",23,14,1
"10",23,16,1
"10",23,17,1
"10",23,19,1
"11",4,7,2
"11",4,8,1
"11",4,9,1
"11",4,10,1
"11",4,13,1
"11",4,14,1
"11",4,15,1
"11",4,16,1
"11",4,17,1
"11",5,5,1
"11",5,7,1
"11",5,9,1.33333333333333
"11",5,10,1.33333333333333
"11",5,12,1
"11",5,15,1
"11",5,16,1
"11",5,17,1
"11",6,7,1
"11",6,15,1
"11",6,18,1
"11",7,7,1
"11",7,9,1
"11",7,12,1
